[9/23/2023 5:29:57 PM] [INFO] received Windows console close event; shutting log-core down
[9/23/2023 7:21:50 PM] [INFO] received Windows console close event; shutting log-core down
[9/23/2023 7:23:05 PM] [INFO] received Windows console close event; shutting log-core down
[9/24/2023 9:36:32 PM] [INFO] received Windows console close event; shutting log-core down
[9/24/2023 9:38:03 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 2:47:52 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 5:11:29 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 6:06:00 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 6:07:01 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 6:07:04 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 6:18:08 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 6:20:39 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 6:35:56 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 6:37:08 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 6:44:43 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 6:45:26 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 6:47:26 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 6:54:11 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 6:54:50 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 6:59:46 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 7:00:25 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 7:10:56 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 7:25:22 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 7:30:38 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 7:30:41 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 7:30:48 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 7:33:31 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 7:33:52 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 7:40:58 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 8:44:49 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 8:54:21 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 9:04:28 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 9:10:41 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 9:12:07 PM] [INFO] received Windows console close event; shutting log-core down
